SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC1.jpg,0,0.0040225,11.3325,-0.42887,0.22091,-10.7159,-0.10682,-0.11245,0.11113,1.1598194e-10,-5.3932857e-12,-0.0049047,-0.78376,-0.0025709,0.002746,0.0011087
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC2.jpg,0.1199076,0.0040225,11.3672,-0.24991,0.1427,-9.83242,-0.0019155,-0.0059625,0.0098602,0.947723053,-0.98249448,-0.015686,-0.78369,0.0019442,0.0026658,-0.0015297
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC3.jpg,0.26011592,0.0040225,11.4106,-0.065308,0.34639,-9.5709,0.019277,0.017723,-0.014297,2.06157024,-2.1321947,0.0059346,-0.78374,-0.0059645,0.0027799,0.0062072
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC4.jpg,0.3000293,0.0040225,11.4323,-0.097815,0.35223,-9.64231,-0.01172,-0.013032,0.0094112,2.38137895,-2.4605396,0.013642,-0.78383,0.0041406,0.0028749,-0.0033163
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC5.jpg,0.40678761,0.0037491,11.5148,-0.21419,0.12796,-9.57551,-0.0080431,-0.0064626,0.0013379,3.23317505,-3.3395757,-0.0016984,-0.78365,0.0007535,0.0026634,0.00030978
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC6.jpg,0.50671029,0.0033194,11.5495,-0.099832,0.15526,-9.68608,0.00038898,0.0056572,-0.001162,4.03430887,-4.1659056,-0.0085341,-0.78345,0.0023138,0.0023515,-0.0020018
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC7.jpg,0.59350604,0.0032022,11.5495,0.12008,0.12332,-9.70566,0.0018332,0.0024615,0.00087705,4.73104252,-4.8872526,-0.016687,-0.78361,0.0053005,0.0024846,-0.0023621
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC8.jpg,0.69326984,0.0032022,11.5885,-0.085389,0.2425,-9.43102,0.0029551,-0.0058818,0.00025765,5.5382356,-5.7205788,0.017202,-0.78349,-0.0057179,0.0024577,0.0075985
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC9.jpg,0.77325608,0.0032022,11.6189,-0.14442,0.28445,-9.4787,0.00044945,0.0016309,-0.00011063,6.18546112,-6.3880003,0.0069311,-0.78351,0.0023355,0.0025462,-0.0029819
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC10.jpg,0.86671545,0.0032022,11.6493,0.11688,0.15784,-9.77476,-0.0031189,0.0070607,-0.0010514,6.94343099,-7.1701814,-0.01568,-0.78369,-9.4735e-06,0.0027546,-0.0017735
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC11.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC11.jpg,1.0066547,0.0032412,11.7231,0.093951,0.11129,-9.56261,-0.00020055,-0.0029827,-0.00051614,8.08643475,-8.3514816,0.0021127,-0.78378,-0.0012066,0.0028005,0.00093291
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC12.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC12.jpg,1.106561,0.0032412,11.7535,0.040155,0.17981,-9.64656,0.0057271,-0.0040819,0.00032135,8.9067008,-9.1994448,-0.0045029,-0.7837,-0.00026471,0.0027049,-0.00039665
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC13.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC13.jpg,1.2066222,0.0032412,11.8142,0.036406,0.23778,-9.82094,0.0050675,0.0019814,0.00056897,9.72967634,-10.051101,-0.0063406,-0.7836,0.0055827,0.0027043,-0.0050661
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC14.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC14.jpg,1.2933204,0.0029678,11.8403,0.0058865,0.2774,-9.60192,0.001759,0.0025526,-0.00032686,10.4470551,-10.79143,0.010252,-0.78371,-0.0032259,0.0028673,0.0020977
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC15.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC15.jpg,1.3866581,0.0026944,11.8924,0.089355,0.19464,-9.56246,-0.0017319,0.00031049,-0.0016573,11.2225398,-11.592037,-0.01367,-0.7838,0.002349,0.0029002,-0.0020737
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC16.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC16.jpg,1.4866647,0.0021475,11.9444,0.036976,0.12413,-9.71046,-0.0002669,0.0023751,-0.00023574,12.0561562,-12.453793,-0.00059677,-0.78366,0.0022011,0.002666,-0.0021791
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC17.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC17.jpg,1.613351,0.0016006,12.0312,0.071483,0.20871,-9.63792,0.00050368,0.0035365,0.00089629,13.0163387,-13.585821,0.0010529,-0.78365,-0.0017817,0.0026538,0.0018061
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC18.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC18.jpg,1.7471129,0.0012491,12.0703,0.11398,0.2006,-9.66491,-0.00026626,0.00021465,0.00021206,14.1401351,-14.747402,0.0088725,-0.78375,-0.0038415,0.0028326,0.0053959
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC19.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC19.jpg,1.8399519,0.0011709,12.1224,-0.0023484,0.25406,-9.68638,0.00052619,0.00015435,-0.0010714,14.9309528,-15.563013,0.0039448,-0.78387,-0.0086687,0.0030039,0.0078383
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC20.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC20.jpg,1.9399686,0.0011709,12.1484,0.010567,0.27,-9.67186,-0.0043844,0.0026669,-0.00097244,15.7815839,-16.439863,0.010182,-0.78374,-0.0041251,0.0027737,0.0036874
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC21.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC21.jpg,2.0201444,0.0011709,12.2049,0.036373,0.14716,-9.63203,-0.0065708,0.0024517,0.00094562,16.4639202,-17.144271,0.0020394,-0.78382,-0.00090032,0.0028396,0.00082001
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC22.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC22.jpg,2.1199382,0.0011709,12.2526,-0.091595,0.13139,-9.55405,-9.3019e-07,-0.0011392,0.00071147,17.3181239,-18.027855,0.0032378,-0.78384,-0.0086218,0.0028575,0.0075037
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC23.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC23.jpg,2.2066917,0.0011709,12.2743,-0.1287,0.15015,-9.73768,0.0045608,0.0016973,-0.00081651,18.0601624,-18.795568,-0.0030653,-0.78388,0.0011471,0.0029433,-0.0012399
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC24.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC24.jpg,2.3399177,0.0011709,12.3177,-0.082771,0.29253,-9.85784,0.0040325,0.0062591,-0.00068221,19.2054014,-19.979272,-0.0019262,-0.78407,-0.00038668,0.0030437,-0.00036886
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC25.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC25.jpg,2.4398948,0.0011709,12.3611,-0.11562,0.22705,-9.59024,-0.0021667,0.0044495,-0.0010662,20.0669759,-20.870725,-0.014053,-0.78416,0.0015653,0.0030526,-0.002495
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC26.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC26.jpg,2.5198937,0.0011709,12.3785,-0.08493,0.069151,-9.54781,-0.0019335,0.0012815,0.00049334,20.7578852,-21.585874,-0.01665,-0.78397,-0.0014639,0.0027364,-0.00034989
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC27.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC27.jpg,2.5801884,0.0011709,12.4219,-0.17057,0.14868,-9.67643,0.00514,0.0013276,0.00037955,21.2758772,-22.123372,-0.0095815,-0.78422,0.0010755,0.0029416,-0.0009183
