SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC1.jpg,0,0.0071084,18.4983,0.039648,-0.10406,-10.9354,-0.095245,-0.10863,0.13019,2.32013353e-10,-7.96271204e-10,-0.00097212,2.1107,0.0049931,-0.0062647,0.010569
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC2.jpg,0.044037977,0.0073037,18.5156,0.02962,-0.15439,-10.721,-0.067823,-0.082872,0.10335,-0.427798039,0.74101787,-0.018671,2.1111,0.0090047,-0.0061288,-0.0048143
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC3.jpg,0.13728254,0.0073037,18.533,0.18812,-0.0049849,-9.41612,0.064717,0.03207,-0.024307,-1.27952755,2.22531191,-0.042794,2.1128,0.021967,-0.0066699,-0.0060279
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC4.jpg,0.23741371,0.0073037,18.5373,0.2213,0.21652,-9.95105,0.037858,-0.0018521,0.01717,-2.19628136,3.81528958,-0.050023,2.1144,0.033279,-0.006595,-0.023531
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC5.jpg,0.37090457,0.0066787,18.5417,0.31134,0.4253,-9.93541,0.034845,0.00010899,0.02352,-3.42696915,5.93405055,0.0041306,2.1166,0.0077145,-0.0075423,0.0048957
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC6.jpg,0.47068342,0.0048819,18.559,0.1055,0.36921,-9.66004,0.025976,0.0018952,0.014427,-4.35466898,7.5214606,0.0032388,2.1184,0.0081944,-0.0085465,0.0055581
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC7.jpg,0.56391675,0.0036709,18.572,0.064644,0.37653,-9.66239,0.011743,0.0003692,0.012833,-5.22373702,9.00150084,-0.0015064,2.1194,0.020955,-0.0081776,-0.0054325
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC8.jpg,0.66405069,0.0030459,18.5807,0.12032,0.30277,-9.73866,0.012264,0.0043079,0.010292,-6.15567195,10.5866739,-0.023773,2.1205,0.01201,-0.0077198,-0.0014843
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC9.jpg,0.75732086,0.0029678,18.5807,0.14623,0.12634,-9.67652,0.0098086,0.0086225,0.010766,-7.02695487,12.0671365,-0.010549,2.1214,0.0099936,-0.00676,0.0068555
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC10.jpg,0.85077,0.0026162,18.5677,0.069654,0.070735,-9.51629,0.0085413,0.0016633,0.009303,-7.89882789,13.5493053,-0.026271,2.1216,-0.003602,-0.0057,0.018319
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC11.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC11.jpg,0.9440886,0.0021475,18.572,0.084362,-0.0088648,-9.59804,0.014581,-0.0031724,0.0022586,-8.76864869,15.0315262,-0.040202,2.1221,-0.0013894,-0.0048234,0.013177
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC12.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC12.jpg,1.0306214,0.0019912,18.572,0.06235,0.10912,-9.88187,0.021182,0.0046725,0.0022731,-9.57262781,16.4210733,-0.037136,2.1217,0.0014777,-0.0028456,0.0082033
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC13.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC13.jpg,1.1372925,0.0019912,18.572,-0.039729,-0.11376,-9.5547,0.026167,0.0080381,0.00021789,-10.5650269,18.1154659,-0.079785,2.1219,-0.018818,-0.0024337,0.024862
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC14.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC14.jpg,1.2239446,0.0019912,18.5807,0.13908,0.0051626,-9.50558,0.029105,0.0023215,-0.0012878,-11.3700668,19.4945758,-0.078047,2.1219,-0.0021885,-0.0018163,0.0084919
