SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC1.jpg,0,0.0022647,25.3038,-0.37106,-0.70571,-10.332,-0.025298,6.0671e-05,0.00079187,-5.58732189e-10,-1.37527008e-09,0.018894,-0.10917,0.0010053,0.0032143,-0.0012919
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC2.jpg,0.093390221,0.0022256,25.3255,-0.33702,-0.64373,-10.0776,-0.019384,0.01166,0.0011162,2.33866299,-0.29631244,0.022735,-0.10949,0.0041698,0.0034404,-0.0055746
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC3.jpg,0.23320574,0.0022256,25.3559,-0.13062,-0.36406,-9.79866,-0.0098717,0.013469,0.0018331,5.84838999,-0.742912077,-0.00064638,-0.10946,0.0061477,0.0032953,-0.007303
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC4.jpg,0.28025558,0.0022256,25.3602,-0.031546,-0.27522,-9.8669,-0.0045466,0.0060335,-0.0065729,7.01953623,-0.892783142,0.0095221,-0.10963,-0.0064612,0.0033677,0.0059772
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC5.jpg,0.36653281,0.0022256,25.395,-0.69575,0.092268,-9.64194,-0.00070926,-0.0088399,-0.0024915,9.19803122,-1.17134458,-0.0029957,-0.10948,0.00030575,0.0031235,-0.0022938
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC6.jpg,0.49979015,0.0023428,25.4253,-0.17282,0.65429,-8.94254,0.0053733,-0.018847,0.0039898,12.5425891,-1.65120698,0.0032339,-0.10949,0.00018884,0.0030988,4.1059e-06
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC7.jpg,0.59983612,0.0026944,25.4601,-0.051988,-0.93578,-10.0346,-0.0036223,0.0039404,0.00057756,15.0613522,-1.97319359,0.0065879,-0.10979,0.0037666,0.0033108,-0.0058745
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC8.jpg,0.67997246,0.0030459,25.4774,0.11592,0.56997,-9.00925,-0.0061469,0.0093802,-0.00054112,17.075604,-2.23106548,0.01022,-0.10991,-0.0040855,0.003351,0.0027229
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC9.jpg,0.77983087,0.0034756,25.5078,-0.71714,0.071804,-9.43117,0.0024405,0.0083332,-0.0090529,19.5963509,-2.55267906,0.01054,-0.10991,-0.00942,0.0032014,0.0085521
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC10.jpg,0.85987675,0.0039444,25.5295,-0.38672,0.54296,-9.63637,0.00059937,-0.0072459,-0.0041735,21.6155507,-2.81134461,-0.0045555,-0.10984,0.0039721,0.003138,-0.0049464
