SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC1.jpg,0,0.0022647,28.4245,0.28534,-0.67319,-10.1297,-0.0031611,-0.0015131,-0.0029412,-1.8982691e-10,-1.0276568e-10,-0.037192,3.9274,-0.00074482,0.0017769,0.0035532
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC2.jpg,0.013214542,0.0020694,28.4288,-0.30432,-0.11038,-9.50937,0.00027078,0.011888,0.014052,-0.26994797,-0.26029355,-0.048846,3.9274,0.0076607,0.0017889,-0.0058833
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC3.jpg,0.093269088,0.0020694,28.4505,-0.5603,0.35033,-9.27445,0.004823,0.0030728,0.008488,-1.8907292,-1.8204107,-0.051346,3.9275,0.0026607,0.0019717,-0.00045059
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC4.jpg,0.23328269,0.0020694,28.4722,-0.68091,0.31718,-9.50328,0.010322,-0.0083803,-0.0037611,-4.7307225,-4.6945108,-0.075141,3.9278,0.0044524,0.0017917,-0.0028912
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC5.jpg,0.27368539,0.0034756,28.4896,-0.024386,0.3389,-8.41901,0.017372,-0.0052468,-0.00682,-5.5430272,-5.4754266,-0.074651,3.9277,-0.007608,0.0021954,0.0099842
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC6.jpg,0.40654851,0.0039444,28.4983,0.61252,0.57487,-9.80628,0.00019992,-0.0066655,3.1746e-05,-8.251027,-8.0800155,-0.046732,3.9276,-0.0022669,0.0023663,0.0039602
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC7.jpg,0.5000441,0.0040225,28.5113,1.1121,-0.20146,-9.27284,-1.7507e-05,0.0014658,0.0069714,-10.147213,-9.9038996,-0.066005,3.9274,-0.0015797,0.0026674,0.0022286
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC8.jpg,0.59327768,0.0040225,28.52,0.75266,0.69987,-9.32907,-0.009127,-0.0058649,0.0036573,-12.042112,-11.730484,-0.044773,3.9274,-0.0073203,0.0026809,0.0056551
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC9.jpg,0.73332402,0.0040225,28.533,0.19889,1.4488,-8.76598,-0.021194,-0.0067518,0.00059321,-14.884698,-14.474955,-0.02032,3.9276,-0.0059083,0.0025172,0.0046955
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC10.jpg,0.84655124,0.0040225,28.5373,0.58583,0.9492,-9.17033,-0.015692,-0.0025708,0.00064301,-17.187269,-16.698029,-0.033162,3.928,0.0021419,0.0021458,-0.0026515
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC11.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC11.jpg,0.94000818,0.0040225,28.5503,0.041217,-0.55735,-9.61131,-0.0055514,0.013414,0.00778,-19.084094,-18.528602,-0.061882,3.9283,-0.0046947,0.0020888,0.0045722
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC12.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC12.jpg,1.0265722,0.0040225,28.5677,-0.5197,0.69523,-8.89867,0.024466,-0.0079717,-0.010865,-20.84645,-20.227933,-0.078294,3.9286,0.0084015,0.0019353,-0.0063617
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC13.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC13.jpg,1.1200236,0.0040225,28.5851,0.10358,0.93825,-9.98363,0.0062868,-0.019338,-0.014581,-22.747601,-22.061383,-0.070431,3.9288,0.0012775,0.0019591,0.0019326
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC14.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC14.jpg,1.2599228,0.0040225,28.6155,0.013557,-1.057,-9.5681,-0.00061489,-0.0088002,0.0015417,-25.595412,-24.947087,-0.074708,3.929,-0.0050641,0.0019477,0.0078892
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC15.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC15.jpg,1.3465272,0.0040225,28.6458,0.43214,0.99091,-9.34247,-0.027583,-0.030897,0.0047126,-27.361517,-26.657574,-0.034499,3.9291,0.0084413,0.0019713,-0.0049371
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC16.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC16.jpg,1.4398947,0.0039444,28.6458,-0.22462,-0.44048,-10.2191,-0.021366,-0.0062141,0.0062547,-29.263316,-28.502174,-0.023546,3.9292,0.0032637,0.0021054,-0.001404
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC17.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC17.jpg,1.5266559,0.0033975,28.6719,1.2047,-0.18036,-8.8278,-0.0052843,0.015403,0.0032146,-31.028714,-30.211639,-0.035907,3.9292,0.0026329,0.0024239,0.00047125
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC18.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC18.jpg,1.6197462,0.0033975,28.6762,0.68222,0.093211,-10.4541,0.017079,0.01359,0.0098837,-32.931216,-32.049744,-0.057095,3.9292,0.00050186,0.0025534,-0.00070653
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC19.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC19.jpg,1.7599618,0.0032412,28.6979,-0.062447,-0.44846,-9.33559,0.024879,-0.025884,-0.00011805,-35.796475,-34.810783,-0.08732,3.9294,0.01002,0.002389,-0.011215
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC20.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC20.jpg,1.8399495,0.0024991,28.724,-0.64104,0.42784,-9.75448,0.02704,-0.01971,0.0055383,-37.438763,-36.390773,-0.088565,3.9293,-0.0045313,0.0023965,0.0033095
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC21.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC21.jpg,1.933193,0.0016006,28.75,0.1023,0.46432,-8.88332,0.00023822,0.0071728,-0.0040021,-39.353449,-38.235107,-0.067326,3.9294,-0.0020239,0.0022713,0.00052854
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC22.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC22.jpg,1.9932152,0.0015225,28.7674,-0.84982,0.065398,-9.30701,-0.01858,0.0087785,-0.0064284,-40.58121,-39.422317,-0.055697,3.9293,0.0052078,0.0022596,-0.0054483
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC23.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC23.jpg,2.0864589,0.0015225,28.7977,-0.51232,0.0018632,-9.25243,-0.036275,0.00085359,-0.0012328,-42.490012,-41.271543,-0.033202,3.9292,-0.0037647,0.002526,0.0047897
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC24.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC24.jpg,2.2132353,0.0015225,28.8194,-0.0081471,0.16955,-8.33415,-0.016849,-0.011322,-8.1582e-05,-45.079525,-43.928945,-0.023275,3.929,0.0049357,0.0027037,-0.0058682
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC25.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC25.jpg,2.3198282,0.0011709,28.8411,0.082684,-0.67808,-10.3463,-0.015795,-0.0085518,-0.00046436,-47.26767,-46.048022,-0.035373,3.9288,0.00078669,0.0028125,-0.0015269
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC26.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC26.jpg,2.4132282,0.0008975,28.8542,1.0706,-0.4994,-9.57267,0.00037439,-0.012344,-0.0074254,-49.184807,-47.902052,-0.045967,3.929,0.0080534,0.0027094,-0.0072852
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC27.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC27.jpg,2.5131449,0.0008975,28.8802,0.90917,0.054325,-9.72914,-0.011448,-0.0070729,0.0041156,-51.241747,-49.889583,-0.035359,3.9288,0.0060087,0.003078,-0.0043303
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC28.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC28.jpg,2.5932428,0.0008975,28.9062,0.94096,-0.47766,-8.6041,-0.0001447,-0.00049472,0.0028802,-52.888204,-51.481271,-0.022984,3.9286,-0.008736,0.0034131,0.0093931
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC29.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC29.jpg,2.7198567,0.0008975,28.9366,0.51823,0.6329,-9.6007,-0.0076786,0.0092298,6.0154e-05,-55.49626,-54.00209,-0.0081859,3.9279,-0.0038978,0.0040181,0.0018747
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC30.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC30.jpg,2.8600872,0.0008975,28.954,0.68323,0.074842,-9.79836,-0.0024149,0.0096941,0.0028433,-58.382837,-56.78967,-0.050105,3.9274,0.010033,0.0043543,-0.012065
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC31.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC31.jpg,2.9531616,0.0011709,28.98,-0.074345,0.32407,-9.01119,0.0191,-0.0062141,-0.0011343,-60.313266,-58.647941,-0.032403,3.9269,-0.0035545,0.0045883,-0.00077634
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC32.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC32.jpg,3.0531449,0.0018741,28.9931,-0.25914,0.79309,-9.58194,0.011968,-0.011868,-0.0024022,-62.386269,-60.639753,-0.048088,3.9264,-0.010905,0.0047638,0.006238
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC33.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC33.jpg,3.1397108,0.0024209,29.0191,0.2756,0.15024,-9.03706,0.010331,0.0019575,-0.011031,-64.177002,-62.50026,-0.037371,3.9261,-0.0039628,0.0045279,-1.714e-05
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC34.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC34.jpg,3.2063726,0.0025772,29.0278,-0.88763,0.15386,-9.64381,0.0066674,0.006114,-0.016355,-65.55831,-63.828234,-0.046137,3.9259,0.0041488,0.004201,-0.0088525
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC35.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC35.jpg,3.2932814,0.0025772,29.0451,0.0070927,-0.45341,-8.83523,-0.0034648,-0.006342,-0.014397,-67.355338,-65.554746,-0.036838,3.9255,-0.005736,0.0040583,0.00077496
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC36.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC36.jpg,3.3865802,0.0025772,29.0712,0.24861,-0.27015,-9.03896,0.0012152,-0.010079,0.0015135,-69.29316,-67.416104,-0.029988,3.9253,-0.00065139,0.0038862,-0.004981
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC37.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC37.jpg,3.5597998,0.0025772,29.0972,0.83906,-0.53783,-9.57679,0.0015302,-0.0079148,-0.0010933,-72.901108,-70.874973,-0.058608,3.925,-0.0038856,0.0035177,0.00044051
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC38.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC38.jpg,3.6265388,0.0025772,29.1189,0.051408,1.1552,-9.83863,-0.0049344,0.0016795,0.0029483,-74.289756,-72.206098,-0.054322,3.925,-0.0039444,0.0031945,-0.00099068
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC39.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC39.jpg,3.7131231,0.0025772,29.1363,0.29492,-0.46868,-9.82183,-0.00086303,0.0073766,0.013125,-76.095242,-73.937343,-0.042796,3.9248,0.0070472,0.003045,-0.011158
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC40.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC40.jpg,3.8063762,0.0025772,29.158,1.19,0.45427,-8.00659,0.0020407,-0.045069,-0.0039313,-78.042533,-75.803338,-0.034667,3.9246,-0.0007827,0.0029678,-0.0034163
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC41.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC41.jpg,3.8997059,0.0025772,29.184,-0.5318,0.91603,-11.0687,-0.01619,-0.030428,0.0041566,-79.998067,-77.676944,-0.04829,3.9246,-0.0065322,0.0028608,0.0038835
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC42.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC42.jpg,3.9931191,0.0025772,29.2014,-0.16019,-0.78602,-11.2965,-0.0085664,0.043621,0.012882,-81.951008,-79.54843,-0.054478,3.9246,0.0038762,0.0025155,-0.008006
