SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC1.jpg,0,0.013085,0.638021,-0.18822,0.13652,-11.025,-0.1176,-0.10493,0.1183,-1.92407773e-10,-1.0255465e-10,0.044517,2.5996,0.0047093,0.0033636,-0.0051374
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC2.jpg,0.052836933,0.0097647,0.651042,0.030879,0.17216,-10.4866,-0.029144,-0.010355,0.016221,-0.0322652747,0.016098076,0.04173,2.5999,0.004293,0.0030864,-0.0036832
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC3.jpg,0.15297552,0.0067569,0.646701,-0.1512,-0.19136,-8.97266,0.0075653,0.02171,-0.021144,-0.0914079473,0.046048008,0.030299,2.6003,0.0031312,0.0026977,-0.0032616
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC4.jpg,0.26620526,0.0046475,0.642361,-0.25929,-0.47282,-9.30921,-0.018611,-0.0088645,0.012014,-0.154683889,0.081971034,0.0076551,2.6007,0.0025811,0.0022946,-0.0022392
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC5.jpg,0.39949849,0.0032412,0.651042,0.026844,-0.10581,-10.1684,-0.00074066,0.00094271,0.0048864,-0.225419479,0.12716827,-0.0039786,2.601,0.0029853,0.0020424,-0.0028485
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC6.jpg,0.4862711,0.0024209,0.651042,-0.13785,-0.13772,-9.4468,0.012082,5.7798e-05,-5.8038e-05,-0.27048904,0.15663761,-0.0067913,2.601,0.0010126,0.001997,-0.0018695
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC7.jpg,0.55288955,0.0012491,0.651042,-0.23733,-0.30661,-9.48815,0.0070333,-0.0024224,-0.001612,-0.304565603,0.17899984,-0.0066758,2.6009,-0.00089086,0.0019851,0.00072599
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC8.jpg,0.63278087,-0.00011813,0.651042,0.022002,0.14934,-10.0995,0.0025365,-0.00022192,0.0012045,-0.338031912,0.20687501,-0.0025785,2.601,-0.00042213,0.0019666,0.00033903
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC9.jpg,0.77288841,-0.0019541,0.638021,-0.16585,-0.065273,-9.3643,0.0063425,-2.6807e-06,0.0028592,-0.408255783,0.25056836,0.0047753,2.6011,-5.649e-05,0.0018623,-0.00017886
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC10.jpg,0.89941706,-0.0042978,0.633681,-0.13938,-0.16004,-9.76144,-0.0015549,-3.0156e-05,-0.0013202,-0.471601399,0.28772523,0.0091623,2.6014,0.001616,0.0016445,-0.0018189
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC11.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC11.jpg,0.98616483,-0.0072275,0.633681,0.031072,0.10596,-9.89315,-0.0067514,-0.00061847,0.0030014,-0.514317255,0.31307544,0.0074541,2.6015,0.00070116,0.0015127,-0.00064533
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC12.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC12.jpg,1.0796018,-0.0097666,0.625,-0.20985,-0.30056,-9.33756,-0.0009371,-0.00026034,0.0029012,-0.559523861,0.34041609,0.0025245,2.6016,0.00065445,0.0013819,-6.6688e-05
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC13.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC13.jpg,1.132858,-0.011993,0.616319,-0.04124,-0.069225,-9.91062,-0.0018026,0.00054875,-0.00046534,-0.584792162,0.3559977,0.0049215,2.6016,-0.0011045,0.0014089,0.0010402
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC14.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC14.jpg,1.2993249,-0.013868,0.603299,-0.10398,-0.12962,-9.54094,0.0011093,-0.0003685,0.00035534,-0.662637047,0.40525337,-0.0059368,2.6015,-0.0016761,0.0015188,0.0021203
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC15.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC15.jpg,1.3595416,-0.015118,0.594618,-0.10486,-0.21104,-9.73389,0.0021407,-0.00068977,-0.0027561,-0.690118463,0.42322473,-0.0081312,2.6014,-0.00079065,0.0015813,0.00071881
