SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC1.jpg,0,0.0054287,15.2083,-0.10468,1.00317,-9.44055,0.037843,0.001524,0.0019162,2.1623632e-10,-5.1299571e-10,-0.025657,-1.0684,0.0054713,0.0033014,-0.0065583
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC2.jpg,0.053634597,0.0054287,15.2127,0.96957,-0.972705,-10.52,0.032157,-0.0052176,-0.0027606,0.371080484,-0.71420036,-0.056265,-1.0682,0.0051007,0.0029898,-0.0063874
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC3.jpg,0.19584399,0.0056241,15.2127,-0.099163,-1.95917,-10.6234,0.0074463,0.0028338,0.0078553,1.35084293,-2.5874191,-0.028216,-1.0677,0.0010613,0.0022808,-0.0017371
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC4.jpg,0.20680299,0.00621,15.23,-0.61343,2.61601,-9.79078,-0.020391,0.0042169,0.016512,1.4435718,-2.7647928,0.0064162,-1.0677,0.0028949,0.0019864,-0.0068566
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC5.jpg,0.37343471,0.0062491,15.2127,-0.94432,1.47836,-9.94507,0.016063,-0.0060087,0.0065906,2.62275866,-4.9906723,-0.017164,-1.0666,0.0048669,0.00090773,-0.0051419
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC6.jpg,0.42058053,0.0062491,15.23,0.12654,0.489315,-9.87777,0.0010713,0.0049993,0.00468,2.9524692,-5.6146824,-0.0038628,-1.0661,0.020441,0.00036505,-0.021113
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC7.jpg,0.55412828,0.0062491,15.2214,0.28459,2.61388,-8.89171,0.0040427,-0.0075176,0.0014515,3.8952858,-7.3968708,-0.055379,-1.0652,0.010001,-0.00046815,-0.0088272
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC8.jpg,0.64679273,0.0054287,15.217,0.83532,1.03603,-8.55853,0.029395,-0.0030641,-0.00067382,4.55543955,-8.6451369,-0.020857,-1.0648,-0.0001846,-0.00072773,0.0023128
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC9.jpg,0.73334174,0.0049991,15.2127,-0.10409,-0.867115,-10.0494,-0.0071548,0.011544,-0.0006163,5.16863784,-9.8038114,-0.041701,-1.0645,0.006885,-0.00077809,-0.00023516
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC10.jpg,0.86674426,0.0049991,15.2257,-0.65453,2.39697,-9.37777,-0.0011099,-0.0063576,0.010564,6.11557952,-11.584687,-0.014859,-1.0639,0.010417,-0.0010613,-0.0048069
