SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC1.jpg,0,0.0054287,15.2083,-0.29138,0.14266,-10.6615,-0.10119,-0.10559,0.11395,2.1623632e-10,-5.1299571e-10,-0.025657,-1.0684,0.0054713,0.0033014,-0.0065583
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC2.jpg,0.080049723,0.0054287,15.2127,-0.30254,0.080535,-10.2884,-0.068653,-0.085641,0.09134,0.557760765,-1.0709194,-0.023778,-1.068,0.013353,0.0027702,-0.015566
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC3.jpg,0.18007241,0.0054287,15.2127,-0.032973,0.33593,-9.31306,0.071435,0.03373,-0.028435,1.2576738,-2.4088437,-0.043838,-1.0677,0.0062822,0.0023129,-0.0072628
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC4.jpg,0.18711137,0.0058975,15.23,-0.17561,0.6598,-9.99083,0.01636,-0.0075091,0.009079,1.30417565,-2.498123,-0.041508,-1.0677,0.0055888,0.0021962,-0.0083855
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC5.jpg,0.40672646,0.0062491,15.2127,-0.16917,0.5069,-10.0367,-0.0058442,-0.0053044,0.0059148,2.85784938,-5.4368504,-0.011911,-1.0664,0.016426,0.00065732,-0.018052
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC6.jpg,0.42058053,0.0062491,15.23,-0.22898,0.32895,-9.82391,-0.0036942,0.00045971,0.0042517,2.9524692,-5.6146824,-0.0038628,-1.0661,0.020441,0.00036505,-0.021113
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC7.jpg,0.55412828,0.0062491,15.2214,-0.22353,0.33532,-9.19932,0.0015603,-0.0024141,0.0087624,3.8952858,-7.3968708,-0.055379,-1.0652,0.010001,-0.00055902,-0.0072126
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC8.jpg,0.64679273,0.0054287,15.217,-0.12717,0.33659,-9.11494,0.011959,-0.0030336,0.006032,4.55543955,-8.6451369,-0.020857,-1.0648,-0.0001846,-0.00080035,0.002038
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC9.jpg,0.76669526,0.0049991,15.2127,-0.19875,0.45203,-9.83599,0.014972,-0.00049956,0.0035234,5.40532334,-10.248516,-0.013948,-1.0642,0.0019422,-0.0010614,0.0047077
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC10.jpg,0.8734248,0.0049991,15.2257,-0.16824,0.52001,-10.0687,0.0036021,0.005356,0.0040905,6.16320099,-11.673779,-0.0016036,-1.0638,0.0092517,-0.0013621,-0.0089407
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC11.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC11.jpg,0.96004342,0.0049991,15.2344,-0.086952,0.48829,-9.63711,-0.0035264,0.0022264,0.0058464,6.78021185,-12.831676,-0.019719,-1.0634,-0.0027871,-0.0014342,0.0046947
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC12.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC12.jpg,1.0537742,0.0049991,15.2344,-0.20634,0.26082,-9.49518,-0.0007705,0.0015621,0.0061429,7.44421897,-14.078647,-0.017362,-1.0628,0.007241,-0.0015098,0.0013058
6_19_25,03,D,M,D:\Tahn\6_19_25\cameras\03\LRMC\LRMC13.jpg,D:\Tahn\6_19_25\cameras\03\RRMC\RRMC13.jpg,1.1800664,0.0049991,15.2474,-0.29785,0.33268,-9.76263,0.0077336,0.011075,0.0051286,8.3412172,-15.768636,-0.040293,-1.0626,0.01189,-0.0011276,-0.0067412
