SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC1.jpg,0,0.006835,18.4983,-1.2587,-1.29263,-10.6327,0.028229,-0.0026386,0.00075609,2.32013353e-10,-7.96271204e-10,-0.00097212,2.1107,0.0049931,-0.0062647,0.010569
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC2.jpg,0.097443439,0.0073037,18.5156,-0.023923,1.64116,-9.6489,0.059432,0.00015224,0.010081,-0.914009042,1.59004097,-0.0026711,2.1122,0.016008,-0.0065153,-0.0023552
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC3.jpg,0.11053867,0.0073037,18.533,2.2616,1.4282,-9.40727,0.048326,0.013549,0.017012,-1.03640681,1.80193079,-0.0030195,2.1124,0.016568,-0.0061837,-0.00062856
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC4.jpg,0.22400154,0.0073037,18.5373,0.70142,1.74279,-7.70796,0.063288,4.1534e-05,0.021402,-2.07442296,3.60330484,-0.027572,2.114,0.020989,-0.0071391,-0.011495
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC5.jpg,0.3374662,0.0066787,18.5417,0.80566,0.735322,-9.01247,0.011716,0.003813,0.0099059,-3.11824821,5.40479148,-0.0088264,2.1163,0.017237,-0.0076915,-0.0089329
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC6.jpg,0.47068342,0.0048819,18.559,0.17947,0.131924,-9.1837,0.029592,0.011673,0.014938,-4.35466898,7.5214606,0.0032388,2.1184,0.0081944,-0.0085465,0.0055581
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC7.jpg,0.53070912,0.0036709,18.572,0.27732,0.592799,-8.77948,5.318e-05,-0.001361,0.012112,-4.91254655,8.47263796,-0.006314,2.1188,0.013055,-0.0076406,0.0024672
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC8.jpg,0.66405069,0.0030459,18.5807,0.046602,-1.83257,-11.0597,0.011284,0.0061393,0.0010222,-6.15567195,10.5866739,-0.023773,2.1205,0.01201,-0.0073669,0.0028386
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC9.jpg,0.73067725,0.0029678,18.5807,0.69237,0.960694,-8.57781,0.017475,0.0051968,0.02177,-6.77815125,11.6440679,-0.019995,2.1211,0.013829,-0.0066225,0.0031889
6_19_25,06,D,M,D:\Tahn\6_19_25\cameras\06\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\06\RRMC\RRMC10.jpg,0.81729985,0.0026162,18.5677,0.61056,1.15508,-8.74385,0.029859,-0.0065904,-0.0038514,-7.58841265,13.019324,-0.030875,2.1218,0.0050077,-0.0063057,0.0090226
