SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC1.jpg,0,0.013085,0.638021,0.18155,-0.029656,-10.0955,-0.021464,-0.0032002,0.0038038,-1.92407773e-10,-1.0255465e-10,0.044517,2.5996,0.0047093,0.0033636,-0.0051374
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC2.jpg,0.086228952,0.0097647,0.651042,-0.28598,-0.391906,-8.61017,-0.015412,-0.0043674,0.0025169,-0.0522776466,0.026028761,0.038192,2.6001,0.0034863,0.0029115,-0.0028766
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC3.jpg,0.17943448,0.0067569,0.646701,-0.070737,-0.522295,-9.88741,-0.01112,0.0037607,0.0031591,-0.106658648,0.054251547,0.026021,2.6004,0.0049416,0.0026363,-0.0051348
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC4.jpg,0.26620526,0.0046475,0.642361,0.030913,0.219059,-10.0116,0.0010148,0.00039721,0.0028128,-0.154683889,0.081971034,0.0076551,2.6007,0.0025811,0.0022946,-0.0022392
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC5.jpg,0.37309484,0.0032412,0.651042,-0.33331,-0.28369,-8.78305,0.010135,-0.0047337,-2.0385e-05,-0.211389268,0.1180942,-0.0060864,2.6009,0.0028033,0.0020638,-0.0026665
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC6.jpg,0.49941546,0.0024209,0.651042,0.05481,-0.167914,-10.0877,0.0063836,-0.0019355,-0.0055474,-0.277335226,0.16123983,-0.0093428,2.6009,-0.0013628,0.0020373,0.00050585
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC7.jpg,0.50618072,0.0012491,0.651042,0.00547,0.169431,-10.0894,0.00513,-0.0023982,0.002487,-0.280785218,0.1634627,-0.0089584,2.6009,0.001584,0.0020128,-0.002208
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC8.jpg,0.63278087,-0.00011813,0.651042,-0.3136,-0.402119,-9.3557,0.0097868,0.00098854,0.00071773,-0.338031912,0.20687501,-0.0025785,2.601,-0.00042213,0.0019538,0.00096655
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC9.jpg,0.77288841,-0.0019541,0.638021,0.14552,0.159124,-10.0452,-0.0060719,0.0011046,-0.00084961,-0.408255783,0.25056836,0.0047753,2.6011,-5.649e-05,0.0018623,-0.00017886
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC10.jpg,0.87271686,-0.0042978,0.633681,0.1583,-0.00828566,-9.23745,-0.0030529,-0.001104,0.0090799,-0.458324085,0.27994968,0.010631,2.6013,0.0017723,0.0017125,-0.0019752
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC11.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC11.jpg,0.95294674,-0.0072275,0.633681,-0.11923,-0.3731,-9.46131,-0.00049341,-0.00051843,-0.00029533,-0.497984491,0.30332082,0.0078931,2.6015,0.0034368,0.001556,-0.0040156
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC12.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC12.jpg,1.0460823,-0.0097666,0.625,-0.030442,0.103438,-10.0935,-0.00158,0.0013639,0.0012042,-0.543433455,0.33072697,0.0039769,2.6016,-0.00041244,0.0014367,0.0013381
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC13.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC13.jpg,1.132858,-0.011993,0.616319,-0.32055,-0.299493,-9.27476,0.0029485,0.0028323,0.0014393,-0.584792162,0.3559977,0.0049215,2.6016,-0.0011045,0.0014089,0.0010402
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC14.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC14.jpg,1.2729424,-0.013868,0.603299,0.17793,-0.00380936,-10.162,-0.0029997,0.0008429,-0.0020385,-0.650339624,0.39739565,-0.0046814,2.6015,-0.0027561,0.0015118,0.0025089
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC15.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC15.jpg,1.3595416,-0.015118,0.594618,-0.19595,-0.0279123,-8.92576,0.0065496,-0.0021757,0.0028451,-0.690118463,0.42322473,-0.0081312,2.6014,-0.00079065,0.001583,0.0013937
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC16.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC16.jpg,1.4528089,-0.016329,0.581597,0.0084818,-0.234736,-10.1673,0.0024103,0.00011047,-0.0050326,-0.73224128,0.45085596,-0.007248,2.6013,0.00051825,0.0017019,-0.00013654
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC17.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC17.jpg,1.5461078,-0.017306,0.568576,-0.15896,0.0477044,-9.43263,0.0065132,-0.00084985,0.00092481,-0.773913147,0.47815772,-0.0068653,2.6013,-0.0018902,0.0017947,0.002173
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC18.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC18.jpg,1.6418114,-0.018204,0.564236,-0.22234,-0.214771,-10.0467,-0.00041169,-0.0012556,-0.004394,-0.81049183,0.50631952,-0.0058367,2.6012,-0.0015301,0.0018749,0.0019406
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC19.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC19.jpg,1.7729193,-0.018673,0.559896,0.1017,0.168307,-9.49596,0.0033505,-0.0014881,0.0014493,-0.87033839,0.54458441,-0.0018042,2.6011,-0.0011554,0.0019847,0.0011257
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC20.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC20.jpg,1.8726852,-0.019181,0.555556,0.29761,-0.193035,-9.47436,0.0057893,-0.0030555,-0.0038057,-0.915617812,0.57384818,-0.01052,2.6009,0.0005611,0.0021433,-0.001384
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC21.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC21.jpg,1.9659761,-0.020079,0.572917,0.48097,-0.3633,-9.45693,0.014448,-0.0021541,0.0014917,-0.958913977,0.60286313,-0.011953,2.6008,0.00042807,0.0022035,-0.00036545
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC22.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC22.jpg,2.0860153,-0.021056,0.598958,1.0211,0.0776348,-9.5455,0.015041,-0.0066478,-0.0063768,-1.01786181,0.64486929,-0.026623,2.6006,-0.00051456,0.0024786,0.00068788
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC23.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC23.jpg,2.1527708,-0.021642,0.62066,-0.042871,-0.205879,-9.24892,0.015694,-0.0035706,-0.0047395,-1.05360973,0.67106073,-0.031121,2.6003,-0.0093033,0.0027943,0.0095298
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC24.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC24.jpg,2.2327744,-0.023868,0.62934,0.94638,-0.0340415,-9.3495,0.0096025,0.0060361,0.0051869,-1.09903207,0.7048035,-0.03749,2.5999,0.00094923,0.0030932,-0.001351
6_19_25,01,D,M,D:\Tahn\6_19_25\cameras\01\LRMC\LRMC25.jpg,D:\Tahn\6_19_25\cameras\01\RRMC\RRMC25.jpg,2.3728653,-0.028595,0.729167,1.9453,-0.257004,-9.90481,0.022946,-0.0022743,-0.0092424,-1.18866589,0.76763037,-0.033665,2.5994,-0.0092044,0.003641,0.00951
