SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC1.jpg,0,0.0022647,28.4245,0.046771,0.38846,-10.3052,-0.069795,-0.060236,0.063321,-1.8982691e-10,-1.0276568e-10,-0.037192,3.9274,-0.00074482,0.0018526,0.003622
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC2.jpg,0.006822938,0.0020694,28.4288,0.015435,0.45006,-10.9018,-0.12266,-0.11473,0.11852,-0.13497572,-0.13016662,-0.04401,3.9274,0.0041963,0.0019204,-0.0017798
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC3.jpg,0.12650874,0.0020694,28.4505,0.13274,0.084272,-9.47426,0.019568,0.021131,-0.01757,-2.5666218,-2.6131502,-0.071086,3.9277,0.0035784,0.0017682,-0.0013683
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC4.jpg,0.17986627,0.0020694,28.4722,0.20689,0.021483,-9.33219,0.036525,0.027384,-0.025385,-3.6486433,-3.6531375,-0.05962,3.9276,-0.00066051,0.0019267,0.0026603
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC5.jpg,0.27368539,0.0029678,28.4896,0.20036,0.12025,-9.69952,0.0050103,-0.012799,0.010383,-5.5430272,-5.4754266,-0.074651,3.9277,-0.007608,0.0019292,0.0096999
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC6.jpg,0.40654851,0.0039444,28.4983,0.19052,0.23436,-9.56263,0.008723,-0.0097019,0.0002238,-8.251027,-8.0800155,-0.046732,3.9276,-0.0022669,0.0023663,0.0039602
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC7.jpg,0.54001032,0.0040225,28.5113,0.18491,0.25465,-9.56541,0.0055707,-0.0031486,-0.0032281,-10.959103,-10.686473,-0.042129,3.9274,0.0060737,0.0027094,-0.0067073
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC8.jpg,0.61986728,0.0040225,28.52,0.16629,0.34255,-9.56792,-0.0026033,-0.0026976,0.00045708,-12.58346,-12.252429,-0.037453,3.9274,0.0010494,0.002709,-0.0027146
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC9.jpg,0.75988591,0.0040225,28.533,0.23516,0.37227,-9.4741,-0.0095416,-0.0030004,0.0016414,-15.426103,-14.99773,-0.027247,3.9276,0.0021518,0.0025097,-0.0016839
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC10.jpg,0.84655124,0.0040225,28.5373,0.18907,0.31151,-9.56485,-0.01521,-0.0051668,0.0038447,-17.187269,-16.698029,-0.033162,3.928,0.0021419,0.0021458,-0.0026515
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC11.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC11.jpg,0.94000818,0.0040225,28.5503,0.13657,0.15847,-9.57882,-0.0092377,-0.0042411,0.0042177,-19.084094,-18.528602,-0.061882,3.9283,-0.0046947,0.002038,0.0057181
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC12.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC12.jpg,1.0265722,0.0040225,28.5677,0.071738,0.16492,-9.66099,0.002852,0.0053735,0.00256,-20.84645,-20.227933,-0.078294,3.9286,0.0084015,0.0019353,-0.0063617
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC13.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC13.jpg,1.1200236,0.0040225,28.5851,0.35882,0.23913,-9.64087,0.0084123,0.0050804,0.0050922,-22.747601,-22.061383,-0.070431,3.9288,0.0012775,0.0018936,0.0019733
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC14.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC14.jpg,1.2599228,0.0040225,28.6155,0.27965,0.37096,-9.42789,0.0056076,-0.012302,0.0023599,-25.595412,-24.947087,-0.074708,3.929,-0.0050641,0.0019477,0.0078892
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC15.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC15.jpg,1.3465272,0.0040225,28.6458,0.21244,0.33521,-9.57961,-0.0022926,-0.016815,0.00017805,-27.361517,-26.657574,-0.034499,3.9291,0.0084413,0.0019713,-0.0049371
6_19_25,02,D,M,D:\Tahn\6_19_25\cameras\02\LRMC\LRMC16.jpg,D:\Tahn\6_19_25\cameras\02\RRMC\RRMC16.jpg,1.4398947,0.0039444,28.6458,0.27208,0.43041,-9.31983,-0.011797,-0.018872,0.0016563,-29.263316,-28.502174,-0.023546,3.9292,0.0032637,0.0021054,-0.001404
